Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/TC-Login,,,,14-02-2024 08:19:01,14-02-2024 08:19:39,38.392s,PASSED
"startApplication(""/Users/farizsidik/Downloads/Advantage+demo+3.2.apk"", true)",,,,14-02-2024 08:19:01,14-02-2024 08:19:11,10.371s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,14-02-2024 08:19:11,14-02-2024 08:19:15,4.372s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - LOGIN""), 0)",,,,14-02-2024 08:19:15,14-02-2024 08:19:16,0.886s,PASSED
"setText(findTestObject(""Object Repository/Manual/android.widget.EditUsername""), username, 0)",,,,14-02-2024 08:19:16,14-02-2024 08:19:19,3.207s,PASSED
"setText(findTestObject(""Object Repository/Manual/android.widget.EditPassword""), password, 0)",,,,14-02-2024 08:19:19,14-02-2024 08:19:22,2.205s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 08:19:22,14-02-2024 08:19:23,0.939s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - NO""), 0)",,,,14-02-2024 08:19:23,14-02-2024 08:19:25,2.355s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,14-02-2024 08:19:25,14-02-2024 08:19:26,1.470s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,14-02-2024 08:19:26,14-02-2024 08:19:36,10.010s,PASSED
closeApplication(),,,,14-02-2024 08:19:36,14-02-2024 08:19:39,2.561s,PASSED
